source,author,title,description,url,urltoimage,publishedat,content
"{'id': None, 'name': 'Dailymail.com'}",Kylie Stevens,Airbnb tip-off leads to alleged discovery in the boot of a car in Sydney - as two Scottish tourists are arrested,"Neighbours had noticed unusual behaviour at the short-term stay on Hampden Road, in Artarmon, on June 26.",https://www.dailymail.com/news/article-16006649/airbnb-ketamine-drugs-tipoff-north-sydney.html,https://i.dailymail.com/1s/2026/07/26/23/110264479-0-image-m-40_1785105091864.jpg,2026-07-27T00:46:18Z,"Two Scottish tourists have been charged after a tip-off about suspicious activity at an Airbnb ultimately led police to allegedly uncover 105kg of ketamine.
Neighbours had noticed unusual behaviour … [+2009 chars]"
"{'id': None, 'name': 'Dailymail.com'}",Kelly Garino,"Beloved grandma is run over and killed by illegal immigrant while walking back to her car after grocery shopping, cops say","Deborah Murphy, 82, was walking through a crosswalk outside a Publix in Florida on May 17 when she was allegedly plowed down by 26-year-old Venezuelan national Carlos Saurez-Conteras.",https://www.dailymail.com/news/article-16006349/Grandma-Publix-run-killed-illegal-migrant-police.html,https://i.dailymail.com/1s/2026/07/27/00/110265291-0-image-m-8_1785108013206.jpg,2026-07-27T00:30:50Z,"A Florida grandmother was allegedly mowed down and killed by an illegal migrant as she walked back to her car in a Publix parking lot. 
Deborah Murphy, 82, was walking through a crosswalk outside a … [+6100 chars]"
"{'id': None, 'name': 'Dailymail.com'}",Arthur Parashar,Family-run Post Office in trendy east London neighbourhood is seized by landlord in 4am raid - as locals declare 'nail in the coffin' for area torn apart by 'greed',"At 4am on Friday, July 10, residents in Broadway Market were awoken to the sound of drilling as a man dressed all in black forced his way into the Post Office and changed the locks.",https://www.dailymail.com/news/article-15996109/Broadway-Market-siege-family-run-Post-Office.html,https://i.dailymail.com/1s/2026/07/22/14/110178457-0-image-a-10_1784727743644.jpg,2026-07-27T00:26:55Z,"At 4am on a Friday, residents along Broadway Market, Hackney, were awoken to the sound of drilling as a man dressed all in black forced his way into the Post Office, changed the locks and fled under … [+14512 chars]"
"{'id': None, 'name': 'Dailymail.com'}",Helena Frith Powell,How to indulge on holiday but still lose weight: I lost a stone without trying and at 60 I'm the exact same weight I was at university,There are few certainties in life but one is that the tempting dishes you sample on a summer holiday will also mean you return home with an unwanted souvenir: a few extra pounds.,https://www.dailymail.com/lifestyle/fitness-wellbeing/article-16006201/How-indulge-holiday-lose-weight-lost-stone-without-trying.html,https://i.dailymail.com/1s/2026/07/26/15/110260133-0-image-m-30_1785077029710.jpg,2026-07-27T00:00:55Z,"There are few certainties in life but one is that the tempting dishes you sample with gusto on a summer holiday will also mean you return home with an unwanted souvenir: a few extra pounds.
Yet it i… [+10424 chars]"
"{'id': None, 'name': 'Gadget Flow'}",Madhurima Nag,Minimal Phone 2,"The Minimal Phone 2 is a coming soon device built for people who want less scrolling and more focus, following up on the original Minimal Phone in a smaller design. Physical keyboard: The phone keeps a real keyboard with round..
The post Minimal Phone 2 appea…",https://thegadgetflow.com/product/minimal-phone-2-keyboard-phone/,https://thegadgetflow.com/wp-content/uploads/2026/07/minimal-phone-2-keyboard-phone-04.jpg,2026-07-27T00:00:39Z,"Hi, I’m ChrisI’m named after Christopher Columbus one of history’s most famous explorers. Just like he set out to discover new worlds, I’m here to help you discover new innovations.But instead of oce… [+261 chars]"
"{'id': None, 'name': 'Substack.com'}","July 27, 2026",A Prospective Economic Analysis Of Mayor Mamdani's State Owned Supermarkets (SOS!),"When industrial organization economists study markets, they rarely conclude that a policy that subsidizes government owned enterprises to enter a competitive market (such as grocery market) is a good use of $. Despite this logic, Mayor Mamdani is intent on pu…",https://matthewekahn.substack.com/p/a-prospective-economic-analysis-of,"https://substackcdn.com/image/fetch/$s_!ZkX0!,w_1200,h_675,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fdedbe34d-8fcd-416d-9e0f-3e1f97346f95_1442x897.png",2026-07-27T00:00:00Z,"When industrial organization economists study markets, they rarely conclude that a policy that subsidizes government owned enterprises to enter a competitive market (such as grocery market) is a good… [+4145 chars]"
"{'id': None, 'name': 'Dailymail.com'}",Jacqueline Lindenberg,Gisele Bundchen shows off her toned figure with husband Joaquim Valente on romantic bike ride in Rio de Janeiro,Gisele Bundchen showed off her incredible figure while enjoying a romantic bike ride with husband Joaquim Valente during a getaway to Rio de Janeiro this week.,https://www.dailymail.com/tvshowbiz/article-16006785/gisele-bundchen-husband-joaquim-valente-bike-ride-rio-janeiro.html,https://i.dailymail.com/1s/2026/07/27/00/110264661-0-image-m-27_1785108562948.jpg,2026-07-26T23:40:19Z,"Gisele Bundchen showed off her incredible figure while enjoying a romantic bike ride with husband Joaquim Valente during a getaway to Rio de Janeiro this week. 
The 46-year-old supermodel, who recen… [+6703 chars]"
"{'id': None, 'name': 'Yanko Design'}",Pooja Khanna Tyagi,5 Tiny Homes and Fold-Out Cabins Built to Move Wherever You Go,"5 Tiny Homes and Fold-Out Cabins Built to Move Wherever You GoPortable architecture is shifting how space, ownership, and mobility are defined. What once existed as temporary or emergency structures now evolves into refined, design-led systems...",https://www.yankodesign.com/2026/07/26/5-tiny-homes-and-fold-out-cabins-built-to-move-wherever-you-go/,https://www.yankodesign.com/images/design_news/2026/07/638137/Portable-Architecture_Tiny-Homes_Folding_26.jpg,2026-07-26T23:30:05Z,"Portable architecture is shifting how space, ownership, and mobility are defined. What once existed as temporary or emergency structures now evolves into refined, design-led systems that move with th… [+9929 chars]"
"{'id': None, 'name': 'Roundtable.io'}",Jordon Lawrenz,Brewers Express Interest in Nationals' Abrams,The Milwaukee Brewers eye a blockbuster trade for the Washington Nationals' record-setting shortstop.,https://roundtable.io/sports/mlb/brewers/news/brewers-express-interest-in-abrams,https://s.yimg.com/ny/api/res/1.2/LKuHhsp9LG0tREhXKXMkuw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA7Y2Y9d2VicA--/https://media.zenfs.com/en/roundtable_sports_milwaukee_brewers_articles_682/f66b05dc451dd5b67d42f42beea497c5,2026-07-26T23:00:07Z,"While the Washington Nationals aren't expected to move prized shortstop CJ Abrams, the Milwaukee Brewers are one of two teams expressing interest.
Abrams, 25, is still under team control through 202… [+2282 chars]"
"{'id': 'techradar', 'name': 'TechRadar'}",Johnny Dee,"NYT Connections hints and answers for Monday, July 27 (game #1142)","Looking for NYT Connections answers and hints? Here's all you need to know to solve today's game, plus my commentary on the puzzles.",https://www.techradar.com/gaming/nyt-connections-today-answers-hints-27-july-2026,https://cdn.mos.cms.futurecdn.net/RCGfdf3yhQ9W3MHbTRT6yk-1920-80.jpg,2026-07-26T23:00:00Z,"Looking for a different day?
A new NYT Connections puzzle appears at midnight each day for your time zone – which means that some people are always playing 'today's game' while others are playing 'y… [+4457 chars]"
"{'id': None, 'name': 'WWD'}",Maggie Clancy,"Charli XCX Launches Her ‘Music, Fashion, Film’ Era in Patent Peep-toe Mules","The singer wore Black Suede Studio’s glossy Alessia heels after a July run of pointed Dior, Jimmy Choo and Christian Louboutin pumps.",http://wwd.com/footwear-news/shoe-trends/charli-xcx-peep-toe-mules-music-fashion-fim-los-angeles-1239082957/,https://wwd.com/wp-content/uploads/2026/07/charli-xcx-peep-toe-mules-music-fashion-fim-los-angeles.jpg?w=1000&h=563&crop=1,2026-07-26T22:59:02Z,"After spending much of July in closed pointed-toe pumps, Charli XCX changed course at Friday’s “Music, Fashion, Film” pop-up in Los Angeles a pair of glossy black heels. 
The “Rock Music” singer wor… [+1764 chars]"
"{'id': None, 'name': 'Biztoc.com'}",pymnts.com,TikTok Tests Prime-Style Shopping Membership Service,"TikTok is reportedly testing a membership program for U.S. shoppers, similar to Amazon Prime.
That’s according to a report Friday (July 24) from Business Insider, citing screenshots of the offering seen by its journalists.
According to the report, the program…",https://biztoc.com/x/f7777796ac9492dc,https://biztoc.com/cdn/995/og.png,2026-07-26T22:15:36Z,"TikTok is reportedly testing a membership program for U.S. shoppers, similar to Amazon Prime.Thats according to a report Friday (July 24) from Business Insider, citing screenshots of the offering see… [+141 chars]"
"{'id': None, 'name': 'Dailymail.com'}",Laura Craik,"Margot Robbie slips out to the shops in Paris in her lace-trimmed lingerie, writes LAURA CRAIK",Margot Robbie would be forgiven for never wanting to set eyes on an item of lingerie again after dutifully wearing corsets for almost a year during the filming and promotion of Wuthering Heights.,https://www.dailymail.com/lifestyle/article-16006641/Margot-Robbie-shops-Paris-lace-trimmed-lingerie.html,https://i.dailymail.com/1s/2026/07/26/21/110263895-0-image-m-31_1785099585388.jpg,2026-07-26T22:15:32Z,"After spending almost a year dutifully wearing corsets during the filming and promotion of Wuthering Heights, Margot Robbie would be forgiven for never wanting to set eyes on an item of lingerie agai… [+2968 chars]"
"{'id': None, 'name': 'Dailymail.com'}",Lewis Steele,"Liverpool must back new boss Andoni Iraola in the transfer window to fix problem position otherwise he faces uphill struggle - with injuries mounting, two untried novices and an ageing captain, writes LEWIS STEELE","LEWIS STEELE IN TENNESSEE: If the opener was to be tomorrow, Liverpool would have just captain Virgil van Dijk as the only senior option - and he has not begun pre-season.",https://www.dailymail.com/sport/football/article-16006229/Liverpool-new-boss-Andoni-Iraola-transfer-window.html,https://i.dailymail.com/1s/2026/07/26/17/110261099-0-image-m-18_1785081825001.jpg,2026-07-26T22:03:24Z,"There are two sliding doors moments when it comes to Liverpool and defenders.
Last summer, a deal for England international Marc Guehi was so close that media staff at his former club Crystal Palace… [+5174 chars]"
"{'id': None, 'name': 'Streetartutopia.com'}",Vidar,Look What They Made From the Ground (8 Photos),"The ground is not just the setting. Pebbles become portraits, sand holds giant drawings, and a lawn in New York becomes a scene visible from above. These eight works use the landscape as part of the art.  “Mandela Mandala” — By Justin Bateman in Chiang Mai,…",https://streetartutopia.com/2026/07/27/look-at-the-art-they-made-from-the-ground/,https://streetartutopia.com/wp-content/uploads/2026/07/art-by-jon-foreman-and-justin-bateman-2-1200x675.png?crop=1,2026-07-26T22:01:00Z,"Pebbles become portraits, sand holds giant drawings, and a lawn in New York becomes a scene visible from above. These eight works use the landscape as part of the art.
Bateman identifies the work as… [+4121 chars]"
"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,US Housing Affordability Is 'Deteriorating Again' as Mortgage Rates Hit 11-Month High— Top Economist Says 'Shopping Around Can Save You Thousands...',"US Housing Affordability Is 'Deteriorating Again' as Mortgage Rates Hit 11-Month High— Top Economist Says 'Shopping Around Can Save You Thousands...'
Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
U.S. mor…",https://biztoc.com/x/5b8932a3021ce85b,https://biztoc.com/cdn/5b8932a3021ce85b_s.webp,2026-07-26T21:46:48Z,US Housing Affordability Is 'Deteriorating Again' as Mortgage Rates Hit 11-Month High Top Economist Says 'Shopping Around Can Save You Thousands...'Benzinga and Yahoo Finance LLC may earn commission … [+148 chars]
"{'id': None, 'name': 'Biztoc.com'}",thestreet.com,Walmart and Target's simple change makes in-store shopping easier,"Most retailers design their stores to make sure customers see as much merchandise as possible. That's why grocery chains usually have their dairy cases in the back corner.
 A lot of shoppers buy milk, and even if that's all you need, you will be exposed to lo…",https://biztoc.com/x/43bc58b5909b4804,https://biztoc.com/cdn/43bc58b5909b4804_s.webp,2026-07-26T21:45:19Z,"Most retailers design their stores to make sure customers see as much merchandise as possible. That's why grocery chains usually have their dairy cases in the back corner.A lot of shoppers buy milk, … [+144 chars]"
"{'id': None, 'name': 'Highsnobiety'}",,Vans' Native California Meets Scotland In This Tweed Masterpiece,Vans elevates one of its most legendary icons into the realm of bespoke menswear with the arrival of the Harris Tweed x Vans Old Skool.,https://www.highsnobiety.com/p/harris-tweed-vans-old-skool/,https://www.highsnobiety.com/static-assets/dato/1784904772-https-hypebeast-com-image-2026-07-24-harris-tweed-vans-old-skool-vn000e8vbip-official-images-2.jpg,2026-07-26T21:23:00Z,"While Southern California skate heritage and traditional Scottish textile craft seem like polar opposites on paper, Vans has built an empire on breaking rules. Blending classic skate silhouettes with… [+1750 chars]"
"{'id': None, 'name': 'pymnts.com'}",PYMNTS,TikTok Tests Prime-Style Shopping Membership Service,"TikTok is reportedly testing a membership program for U.S. shoppers, similar to Amazon Prime. That’s according to a report Friday (July 24) from Business Insider, citing screenshots of the offering seen by its journalists. According to the report, the program…",https://www.pymnts.com/commerce/ecommerce/2026/tiktok-tests-prime-style-shopping-membership-service/,https://www.pymnts.com/wp-content/uploads/2026/07/TikTok-Shop-1.jpg,2026-07-26T21:08:13Z,"TikTok is reportedly testing a membership program for U.S. shoppers, similar to Amazon Prime.Thats according to a report Friday (July 24) from Business Insider, citing screenshots of the offering see… [+2461 chars]"
"{'id': None, 'name': 'Legalinsurrection.com'}",Nora Dimitrova Clinton,The World Cup Fans Loved America,"The World Cup reminded us that the American experiment still looks extraordinary from the outside, especially when visitors meet Americans face to face.
The post The World Cup Fans Loved America first appeared on Le·gal In·sur·rec·tion.",https://legalinsurrection.com/2026/07/the-world-cup-fans-loved-america/,https://legalinsurrection.com/wp-content/uploads/2026/07/World-Cup-Coverage.png,2026-07-26T21:00:33Z,"A week after the soccer World Cup ended, many fans went home happy. They left with more than photos, jerseys, and souvenirs. They left with a warmer view of America. Despite the harsh anti-American a… [+5679 chars]"
"{'id': None, 'name': 'PCMag.com'}",M. David Stone,The Best 4K Projectors for 2026,"You can find 4K UHD resolution in projectors of all shapes, sizes, and prices, from tiny tabletop models to home theater powerhouses with stunning quality. Here's your complete guide to choosing the best one.
Understanding Native Resolution: Must My Projector…",https://uk.pcmag.com/projectors/138391/the-best-4k-projectors,https://sm.pcmag.com/t/pcmag_uk/guide/t/the-best-4/the-best-4k-projectors-for-2026_q8n1.1200.jpg,2026-07-26T21:00:00Z,"When TVs, monitors, and laptops start offering more pixels at lower prices, home and office projectors followbut they lag behind in affordability, and today's tariff fluctuations do nothing to help t… [+20059 chars]"
"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Scout Wallen and Sophie Jaggers,Inside Hobart council's 'snack saga' and why the police are involved,"Hobart's deputy lord mayor has admitted to and apologised for taking snacks and drinks from a council lounge over several years, but some of her fellow councillors won't let the matter die.",https://www.abc.net.au/news/2026-07-27/zelinda-sherlock-snackgate-saga/106950860,https://live-production.wcms.abc-cdn.net.au/3efa8387eed1d30ef2ff796944d73976?impolicy=wcms_watermark_news&cropH=2813&cropW=5000&xPos=0&yPos=462&width=862&height=485&imformat=generic,2026-07-26T20:55:42Z,"The City of Hobart is like many other councils where tempers fray, harsh words are exchanged, and insults fly but a stoush over taking snacks and drinks seems to have kicked it up a notch.
Deputy Lo… [+5132 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Tanya Rawat,US Housing Affordability Is 'Deteriorating Again' as Mortgage Rates Hit 11-Month High— Top Economist Says 'Shopping Around Can Save You Thousands...',"U.S. mortgage rates climbed to their highest level in about 11 months this week, adding pressure on homebuyers as housing prices remain near record levels. T...",https://finance.yahoo.com/real-estate/articles/us-housing-affordability-deteriorating-again-203013589.html,https://s.yimg.com/lo/mysterio/api/C91A7308D810AEDA1F8176E4D8132BA265C5A8691C8FB20A8C812BAD6C658309/subgraphmysterio/resizefill_w1200_h710;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Fbenzinga_79%2F162057d4788f79aad53fabef4b4b6b5a,2026-07-26T20:30:13Z,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
U.S. mortgage rates climbed to their highest level in about 11 months this week, adding pressure … [+7088 chars]"
"{'id': None, 'name': 'Kotaku'}",Lewis Parker,Pokémon Company Strikes Blow Against Scalpers With Facial Recognition Checks To ‘Prevent Crime’ At Card Stores In Japan,"In a bid to counter Pokémon TCG scalping and 'prevent crime,' Pokémon card stores in Japan are introducing a new facial recognition system",https://kotaku.com/pokemon-company-strikes-blow-against-scalpers-with-facial-recognition-checks-to-prevent-crime-at-card-stores-in-japan-2000719407,https://kotaku.com/app/uploads/2026/07/Promo-image-from-the-Pokemon-Card-Store-website-1200x675.jpg,2026-07-26T20:20:25Z,"The Pokémon Company in Japan has introduced a new measure to counter Pokémon TCG scalpers: a facial recognition system that will check to see if someone has entered a store more than once in one day,… [+1942 chars]"
"{'id': None, 'name': 'MLB Trade Rumors'}",AJ Eustace,"Red Sox Notes: Durbin, Trade Targets, Suarez","The Red Sox upgraded their infield yesterday by trading for the Nationals’ Curtis Mead. Having a 134 wRC+ in 327 plate appearances this year, he’s sure to get plenty of at-bats with his new team. The defensive fit was more of an open question, as Mead has mos…",https://www.mlbtraderumors.com/2026/07/red-sox-notes-durbin-trade-targets-suarez.html,https://cdn.mlbtraderumors.com/files/2026/07/caleb-durbin-red-sox-2026-1024x683.jpg,2026-07-26T20:20:16Z,"The Red Sox upgraded their infield yesterday by trading for the Nationals’ Curtis Mead. Having a 134 wRC+ in 327 plate appearances this year, he’s sure to get plenty of at-bats with his new team. The… [+4034 chars]"
"{'id': None, 'name': 'CNET'}",Adam Oram,Here Are 50 Deals That Prove Walmart Has Everything You Need for Back-to-School Season,"Make delicious ice cream, upgrade your home office and enjoy the summer season with Walmart’s deals.",https://www.cnet.com/deals/copy-of-here-are-50-deals-that-prove-walmart-has-everything-you-need-for-back-to-school-season/,https://www.cnet.com/wp-content/uploads/sites/2/ca120fad-4f54-4e2f-a55d-281a7e824faf.png,2026-07-26T20:17:53Z,"Summer may still be in full swing, but that also means back-to-school season is coming up soon. If you still have items in your school supply or dorm prep list, then it makes sense to find the best p… [+2419 chars]"
"{'id': None, 'name': 'Anfieldwatch.co.uk'}",Anfield Watch,"Arsenal to let winger join Liverpool, deal could move fast","Arsenal are to step aside and let a winger join Liverpool. Things could move fast if the Reds want them to.Liverpool are in the market for another winger this summer, despite signing Victor Munoz from...",https://www.anfieldwatch.co.uk/liverpool-fc/news/arsenal-to-let-winger-join-liverpool-deal-could-move-fast/,https://s.yimg.com/ny/api/res/1.2/j2nnOsOreuzc8uAhBB3v5Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU7Y2Y9d2VicA--/https://media.zenfs.com/en/anfield_watch_articles_625/3c2ec198bfdd848d2641f25463b1879f,2026-07-26T20:05:00Z,"Arsenal are to step aside and let a winger join Liverpool. Things could move fast if the Reds want them to.
Liverpool are in the market for another winger this summer, despite signing Victor Munoz f… [+2069 chars]"
"{'id': None, 'name': 'The Conversation Africa'}","Terry Goldsworthy, Associate Professor in Criminal Justice and Criminology, Bond University",One Nation is worried about PBS drugs sold on the black market. But how big an issue is this?,"It’s hard to know exactly how big an issue this is today, whether this is becoming more common or how much it costs taxpayers. But here’s what we know so far.",https://theconversation.com/one-nation-is-worried-about-pbs-drugs-sold-on-the-black-market-but-how-big-an-issue-is-this-287178,https://images.theconversation.com/files/747691/original/file-20260714-57-vhfx8k.jpg?ixlib=rb-4.1.1&rect=0%2C1%2C1280%2C640&q=45&auto=format&w=1356&h=668&fit=crop,2026-07-26T20:04:57Z,"MART PRODUCTION/Pexels
One Nation is concerned about subsidised, prescription medicines being sold on the black market, one of several examples of what it says are Medicare “rorts”.

We’ve known for… [+5860 chars]"
"{'id': None, 'name': 'Highsnobiety'}",,"How to Make an adidas Dad Sneaker Better? ""Miu Miu"" It",The adidas Whisper Glide makes a bold entrance as a Miu Miu-style dad sneaker with double shoelaces & luxe textures.,https://www.highsnobiety.com/p/adidas-whisper-glide/,https://www.highsnobiety.com/static-assets/dato/1785079496-adidas-whisper-glide-0.jpg,2026-07-26T20:01:05Z,"Did someone order Miu Miu-flavored adidas dad shoes? Either way, the brand's got them.
The German Sportswear brand released a new Whisper Glide sneaker, which is honestly anything but quiet. It's a … [+1512 chars]"
"{'id': None, 'name': 'Gadget Flow'}",Madhurima Nag,MOBI Complete Baby Health & Safety Kit,"The MOBI Complete Baby Health & Safety Kit bundles four everyday tools parents reach for most: a monitor camera, a pacifier thermometer, an ear thermometer, and a nasal aspirator. MobiCam PRO Monitor: Check on your baby from another room through..
The post MO…",https://thegadgetflow.com/product/mobi-baby-health-safety-kit/,https://thegadgetflow.com/wp-content/uploads/2026/07/mobi-baby-health-safety-kit-01.jpg,2026-07-26T20:00:53Z,"Hi, I’m ChrisI’m named after Christopher Columbus one of history’s most famous explorers. Just like he set out to discover new worlds, I’m here to help you discover new innovations.But instead of oce… [+261 chars]"
